,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
count,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,145.0,145.0,145.0,145.0,145.0,144.0,145.0,146.0,146.0,145.0
mean,1952.5,0.07691780821917808,0.08486301369863017,0.10253424657534245,0.07541095890410958,0.06376712328767123,0.05205479452054795,0.07609589041095888,0.0763013698630137,0.07262068965517243,0.09820689655172413,0.09144827586206895,0.06586206896551725,0.07296551724137933,0.07368055555555553,0.0770344827586207,0.08095890410958904,0.06815068493150685,0.08737931034482758
std,42.290660907581,0.4461290443721461,0.45106347332432795,0.457728743108142,0.41999692398270755,0.3956245876584813,0.3958455250921434,0.37823979492612014,0.3958927296344565,0.3887998283351086,0.3944487520675694,0.4028871142391171,0.4184670871946014,0.3925612551952367,0.39261138729977185,0.4297611160380119,0.419952918160946,0.3865229679122129,0.38980233717740265
min,1880.0,-0.81,-0.64,-0.64,-0.6,-0.56,-0.53,-0.52,-0.55,-0.58,-0.59,-0.58,-0.82,-0.49,-0.49,-0.68,-0.59,-0.5,-0.53
25%,1916.25,-0.2475,-0.24,-0.2275,-0.2575,-0.24,-0.25,-0.19,-0.2175,-0.2,-0.21,-0.18,-0.22,-0.2,-0.22,-0.24,-0.2575,-0.225,-0.18
50%,1952.5,-0.01,-0.035,0.015,-0.015,-0.04,-0.05,-0.03,-0.04,-0.06,0.01,0.02,-0.04,-0.03,-0.05,-0.03,-0.015,-0.04,-0.02
75%,1988.75,0.32,0.3975,0.34249999999999997,0.2975,0.28,0.2675,0.29,0.2975,0.25,0.26,0.28,0.32,0.31,0.2925,0.36,0.31,0.31,0.28
max,2025.0,1.37,1.44,1.39,1.31,1.14,1.2,1.2,1.3,1.48,1.34,1.41,1.37,1.28,1.29,1.35,1.28,1.23,1.41
