,last_updated,temperature_celsius,humidity,precip_mm,wind_kph,year,month
count,105038,105038.0,105038.0,105038.0,105038.0,105038.0,105038.0
mean,2025-02-11 01:31:05.144995,22.639012547839826,64.66567337534987,0.14014099659170967,13.166554961061712,2024.5766389306727,6.955273329652126
min,2024-05-16 01:45:00,-24.9,2.0,0.0,3.6,2024.0,1.0
25%,2024-09-29 10:30:00,17.9,48.0,0.0,6.5,2024.0,5.0
50%,2025-02-11 11:45:00,24.6,70.0,0.0,11.2,2025.0,7.0
75%,2025-06-26 10:00:00,28.3,84.0,0.03,18.0,2025.0,9.0
max,2025-11-07 21:30:00,49.2,100.0,42.24,2963.2,2025.0,12.0
std,,8.849959057583309,24.154187596144002,0.5936671017507206,12.397213912736191,0.49409391668020225,3.061056744969676
